baseline,model,n_real,seed,fold,heldout_file_id,n_train,n_val,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
majority,majority,full,0,file_id_1,1,1316,421,0.39667458432304037,0.1893424036281179,0.0,0.0,0.5680272108843537,"[[0,0,191],[0,0,63],[0,0,167]]"
window_position_only,extra_trees,full,0,file_id_1,1,1316,421,0.6033254156769596,0.5652701882210079,0.6958105646630237,1.0,0.0,"[[191,0,0],[0,63,0],[167,0,0]]"
signal_feature_only,extra_trees,full,0,file_id_1,1,1316,421,0.8432304038004751,0.653720532307897,0.9787234042553191,0.13333333333333333,0.8491048593350383,"[[184,7,0],[0,5,58],[1,0,166]]"
signal_feature_only,extra_trees,10,0,file_id_1,1,30,421,0.8076009501187649,0.5944642199863286,0.9487870619946092,0.0,0.8346055979643766,"[[176,15,0],[1,0,62],[3,0,164]]"
signal_feature_only,extra_trees,10,1,file_id_1,1,30,421,0.6959619952494062,0.5287169420680495,0.8206521739130435,0.0,0.7654986522911051,"[[151,40,0],[1,0,62],[25,0,142]]"
signal_feature_only,extra_trees,10,2,file_id_1,1,30,421,0.8242280285035629,0.69319584282974,0.9295039164490861,0.3076923076923077,0.842391304347826,"[[178,13,0],[3,14,46],[11,1,155]]"
signal_feature_only,extra_trees,10,3,file_id_1,1,30,421,0.8099762470308789,0.7758082588119463,0.8578947368421053,0.6351351351351351,0.8343949044585988,"[[163,28,0],[0,47,16],[26,10,131]]"
signal_feature_only,extra_trees,10,4,file_id_1,1,30,421,0.7292161520190024,0.5449980908743796,0.9072164948453608,0.0,0.7277777777777777,"[[176,15,0],[1,0,62],[20,16,131]]"
signal_feature_only,extra_trees,10,5,file_id_1,1,30,421,0.8076009501187649,0.5964183430523446,0.947945205479452,0.0,0.8413098236775819,"[[173,17,1],[1,0,62],[0,0,167]]"
signal_feature_only,extra_trees,10,6,file_id_1,1,30,421,0.7268408551068883,0.5467008354398292,0.8956743002544529,0.021739130434782608,0.7226890756302521,"[[176,15,0],[1,1,61],[25,13,129]]"
signal_feature_only,extra_trees,10,7,file_id_1,1,30,421,0.8052256532066508,0.5950791055941925,0.9251336898395722,0.0,0.8601036269430051,"[[173,18,0],[10,0,53],[0,1,166]]"
signal_feature_only,extra_trees,10,8,file_id_1,1,30,421,0.7790973871733967,0.5784063132900342,0.9135135135135135,0.0,0.8217054263565892,"[[169,22,0],[2,0,61],[8,0,159]]"
signal_feature_only,extra_trees,10,9,file_id_1,1,30,421,0.7695961995249406,0.5803737262336401,0.9065155807365439,0.0,0.8346055979643766,"[[160,31,0],[1,0,62],[1,2,164]]"
signal_feature_only,extra_trees,25,0,file_id_1,1,75,421,0.7909738717339667,0.6326882031617407,0.9136490250696379,0.14285714285714285,0.8415584415584415,"[[164,27,0],[0,7,56],[4,1,162]]"
signal_feature_only,extra_trees,25,1,file_id_1,1,75,421,0.9596199524940617,0.9426740407449069,0.9658792650918635,0.88,0.9821428571428571,"[[184,7,0],[4,55,4],[2,0,165]]"
signal_feature_only,extra_trees,25,2,file_id_1,1,75,421,0.9168646080760094,0.8972815281113503,0.9044943820224719,0.802547770700637,0.9848024316109423,"[[161,30,0],[0,63,0],[4,1,162]]"
signal_feature_only,extra_trees,25,3,file_id_1,1,75,421,0.850356294536817,0.6493490294059293,0.9326683291770573,0.11267605633802817,0.9027027027027027,"[[187,4,0],[23,4,36],[0,0,167]]"
signal_feature_only,extra_trees,25,4,file_id_1,1,75,421,0.9263657957244655,0.8881023723162187,0.9651474530831099,0.7563025210084033,0.9428571428571428,"[[180,11,0],[0,45,18],[2,0,165]]"
signal_feature_only,extra_trees,25,5,file_id_1,1,75,421,0.9596199524940617,0.9539681886158246,0.9573934837092731,0.9322033898305084,0.9723076923076923,"[[191,0,0],[8,55,0],[9,0,158]]"
signal_feature_only,extra_trees,25,6,file_id_1,1,75,421,0.8812351543942993,0.8238398396059843,0.9273743016759777,0.6141732283464567,0.9299719887955182,"[[166,25,0],[0,39,24],[1,0,166]]"
signal_feature_only,extra_trees,25,7,file_id_1,1,75,421,0.7862232779097387,0.6013200685839103,0.9183098591549296,0.043010752688172046,0.8426395939086294,"[[163,28,0],[0,2,61],[1,0,166]]"
signal_feature_only,extra_trees,25,8,file_id_1,1,75,421,0.8004750593824228,0.5926362637997804,0.9424657534246575,0.0,0.8354430379746836,"[[172,19,0],[0,0,63],[2,0,165]]"
signal_feature_only,extra_trees,25,9,file_id_1,1,75,421,0.7743467933491687,0.5952225216791912,0.9168900804289544,0.06666666666666667,0.8021108179419525,"[[171,20,0],[0,3,60],[11,4,152]]"
signal_feature_only,extra_trees,50,0,file_id_1,1,150,421,0.7933491686460807,0.5905723905723906,0.9333333333333333,0.0,0.8383838383838383,"[[168,23,0],[0,0,63],[1,0,166]]"
signal_feature_only,extra_trees,50,1,file_id_1,1,150,421,0.8052256532066508,0.6724940025278316,0.8938547486033519,0.24299065420560748,0.8806366047745358,"[[160,31,0],[6,13,44],[1,0,166]]"
signal_feature_only,extra_trees,50,2,file_id_1,1,150,421,0.7980997624703088,0.5881298756061565,0.9408602150537635,0.0,0.8235294117647058,"[[175,16,0],[0,0,63],[6,0,161]]"
signal_feature_only,extra_trees,50,3,file_id_1,1,150,421,0.9026128266033254,0.8434114319189349,0.9623655913978495,0.6486486486486487,0.9192200557103064,"[[179,12,0],[0,36,27],[2,0,165]]"
signal_feature_only,extra_trees,50,4,file_id_1,1,150,421,0.8004750593824228,0.5916076630895748,0.9402173913043478,0.0,0.8346055979643766,"[[173,18,0],[1,0,62],[3,0,164]]"
signal_feature_only,extra_trees,50,5,file_id_1,1,150,421,0.7767220902612827,0.5819058855862131,0.9162011173184358,0.0,0.8295165394402035,"[[164,27,0],[0,0,63],[3,1,163]]"
signal_feature_only,extra_trees,50,6,file_id_1,1,150,421,0.9263657957244655,0.9002590524331158,0.9180327868852459,0.7887323943661971,0.9940119760479041,"[[168,23,0],[6,56,1],[1,0,166]]"
signal_feature_only,extra_trees,50,7,file_id_1,1,150,421,0.9026128266033254,0.8414441398549126,0.9619565217391305,0.6371681415929203,0.925207756232687,"[[177,14,0],[0,36,27],[0,0,167]]"
signal_feature_only,extra_trees,50,8,file_id_1,1,150,421,0.7885985748218527,0.6192399016239002,0.9141274238227147,0.10638297872340426,0.8372093023255814,"[[165,26,0],[0,5,58],[5,0,162]]"
signal_feature_only,extra_trees,50,9,file_id_1,1,150,421,0.8764845605700713,0.7958539721542742,0.9508196721311475,0.5321100917431193,0.9046321525885559,"[[174,17,0],[0,29,34],[1,0,166]]"
majority,majority,full,0,file_id_2,2,1292,445,0.39325842696629215,0.18817204301075272,0.5645161290322581,0.0,0.0,"[[175,0,0],[59,0,0],[211,0,0]]"
window_position_only,extra_trees,full,0,file_id_2,2,1292,445,0.13258426966292136,0.3333333333333333,0.0,1.0,0.0,"[[0,0,175],[0,59,0],[211,0,0]]"
signal_feature_only,extra_trees,full,0,file_id_2,2,1292,445,0.9865168539325843,0.9768064228367529,0.9830508474576272,0.9473684210526315,1.0,"[[174,1,0],[5,54,0],[0,0,211]]"
signal_feature_only,extra_trees,10,0,file_id_2,2,30,445,0.9101123595505618,0.8653591794348595,0.9,0.7175572519083969,0.9785202863961814,"[[153,19,3],[12,47,0],[0,6,205]]"
signal_feature_only,extra_trees,10,1,file_id_2,2,30,445,0.8719101123595505,0.8274757372548907,0.8430232558139535,0.6762589928057554,0.9631449631449631,"[[145,30,0],[12,47,0],[12,3,196]]"
signal_feature_only,extra_trees,10,2,file_id_2,2,30,445,0.946067415730337,0.9162331617777163,0.9333333333333333,0.8316831683168316,0.9836829836829837,"[[168,0,7],[17,42,0],[0,0,211]]"
signal_feature_only,extra_trees,10,3,file_id_2,2,30,445,0.9146067415730337,0.8308127843975338,0.9133858267716536,0.5934065934065934,0.9856459330143541,"[[174,0,1],[32,27,0],[0,5,206]]"
signal_feature_only,extra_trees,10,4,file_id_2,2,30,445,0.9595505617977528,0.9372157264096774,0.9620991253644315,0.8615384615384616,0.988009592326139,"[[165,10,0],[3,56,0],[0,5,206]]"
signal_feature_only,extra_trees,10,5,file_id_2,2,30,445,0.898876404494382,0.8276023289495428,0.8788732394366198,0.6086956521739131,0.9952380952380953,"[[156,19,0],[24,35,0],[0,2,209]]"
signal_feature_only,extra_trees,10,6,file_id_2,2,30,445,0.9235955056179775,0.8974329254248118,0.9124668435013262,0.819047619047619,0.9607843137254902,"[[172,2,1],[16,43,0],[14,1,196]]"
signal_feature_only,extra_trees,10,7,file_id_2,2,30,445,0.9280898876404494,0.8973081802050725,0.9198813056379822,0.7913669064748201,0.9806763285024155,"[[155,20,0],[4,55,0],[3,5,203]]"
signal_feature_only,extra_trees,10,8,file_id_2,2,30,445,0.8943820224719101,0.83598908693063,0.8613569321533924,0.656,0.9906103286384976,"[[146,25,4],[18,41,0],[0,0,211]]"
signal_feature_only,extra_trees,10,9,file_id_2,2,30,445,0.952808988764045,0.9175231973703291,0.9441340782122905,0.8108108108108109,0.997624703087886,"[[169,6,0],[14,45,0],[0,1,210]]"
signal_feature_only,extra_trees,25,0,file_id_2,2,75,445,0.9550561797752809,0.9139547710976282,0.9459459459459459,0.7959183673469388,1.0,"[[175,0,0],[20,39,0],[0,0,211]]"
signal_feature_only,extra_trees,25,1,file_id_2,2,75,445,0.9707865168539326,0.9574231920430707,0.9707602339181286,0.9133858267716536,0.9881235154394299,"[[166,7,2],[1,58,0],[0,3,208]]"
signal_feature_only,extra_trees,25,2,file_id_2,2,75,445,0.9865168539325843,0.981049948341408,0.9829545454545454,0.9649122807017544,0.9952830188679245,"[[173,0,2],[4,55,0],[0,0,211]]"
signal_feature_only,extra_trees,25,3,file_id_2,2,75,445,0.952808988764045,0.9242393122346627,0.9398280802292264,0.8376068376068376,0.9952830188679245,"[[164,9,2],[10,49,0],[0,0,211]]"
signal_feature_only,extra_trees,25,4,file_id_2,2,75,445,0.9820224719101124,0.9683087861858812,0.9776536312849162,0.9272727272727272,1.0,"[[175,0,0],[8,51,0],[0,0,211]]"
signal_feature_only,extra_trees,25,5,file_id_2,2,75,445,0.9842696629213483,0.9752266440057892,0.9830508474576272,0.9473684210526315,0.995260663507109,"[[174,0,1],[5,54,0],[0,1,210]]"
signal_feature_only,extra_trees,25,6,file_id_2,2,75,445,0.9550561797752809,0.9296536796536796,0.9404761904761905,0.8484848484848485,1.0,"[[158,17,0],[3,56,0],[0,0,211]]"
signal_feature_only,extra_trees,25,7,file_id_2,2,75,445,0.9617977528089887,0.932405651963716,0.9555555555555556,0.8440366972477065,0.997624703087886,"[[172,3,0],[13,46,0],[0,1,210]]"
signal_feature_only,extra_trees,25,8,file_id_2,2,75,445,0.9348314606741573,0.9026573426573427,0.9107692307692308,0.7972027972027972,1.0,"[[148,27,0],[2,57,0],[0,0,211]]"
signal_feature_only,extra_trees,25,9,file_id_2,2,75,445,0.9393258426966292,0.9042073288884991,0.9266862170087976,0.7906976744186046,0.9952380952380953,"[[158,17,0],[8,51,0],[0,2,209]]"
signal_feature_only,extra_trees,50,0,file_id_2,2,150,445,0.9595505617977528,0.9349613349613349,0.9572649572649573,0.8571428571428571,0.9904761904761905,"[[168,6,1],[8,51,0],[0,3,208]]"
signal_feature_only,extra_trees,50,1,file_id_2,2,150,445,0.9842696629213483,0.9750581088433887,0.9801699716713881,0.9473684210526315,0.9976359338061466,"[[173,1,1],[5,54,0],[0,0,211]]"
signal_feature_only,extra_trees,50,2,file_id_2,2,150,445,0.9887640449438202,0.981218848570947,0.9856733524355301,0.957983193277311,1.0,"[[172,3,0],[2,57,0],[0,0,211]]"
signal_feature_only,extra_trees,50,3,file_id_2,2,150,445,0.9752808988764045,0.9591302069688238,0.968299711815562,0.9090909090909091,1.0,"[[168,7,0],[4,55,0],[0,0,211]]"
signal_feature_only,extra_trees,50,4,file_id_2,2,150,445,0.9640449438202248,0.9390669169193672,0.9575070821529745,0.8620689655172413,0.997624703087886,"[[169,6,0],[9,50,0],[0,1,210]]"
signal_feature_only,extra_trees,50,5,file_id_2,2,150,445,0.9662921348314607,0.9491632550456081,0.9647058823529412,0.8923076923076924,0.9904761904761905,"[[164,10,1],[1,58,0],[0,3,208]]"
signal_feature_only,extra_trees,50,6,file_id_2,2,150,445,0.9730337078651685,0.9527898027898027,0.9722222222222222,0.8909090909090909,0.9952380952380953,"[[175,0,0],[10,49,0],[0,2,209]]"
signal_feature_only,extra_trees,50,7,file_id_2,2,150,445,0.9775280898876404,0.9625883532663194,0.9772727272727273,0.9152542372881356,0.9952380952380953,"[[172,3,0],[5,54,0],[0,2,209]]"
signal_feature_only,extra_trees,50,8,file_id_2,2,150,445,0.9752808988764045,0.9644748102139408,0.9797101449275363,0.928,0.9857142857142858,"[[169,4,2],[1,58,0],[0,4,207]]"
signal_feature_only,extra_trees,50,9,file_id_2,2,150,445,0.9797752808988764,0.9692203468913475,0.9827586206896551,0.9344262295081968,0.9904761904761905,"[[171,3,1],[2,57,0],[0,3,208]]"
majority,majority,full,0,file_id_4,4,1436,301,0.38205980066445183,0.1842948717948718,0.0,0.0,0.5528846153846154,"[[0,0,115],[0,0,71],[0,0,115]]"
window_position_only,extra_trees,full,0,file_id_4,4,1436,301,0.23588039867109634,0.12724014336917563,0.0,0.3817204301075269,0.0,"[[0,115,0],[0,71,0],[0,115,0]]"
signal_feature_only,extra_trees,full,0,file_id_4,4,1436,301,0.9235880398671097,0.9068795507232181,0.9076305220883534,0.8130081300813008,1.0,"[[113,2,0],[21,50,0],[0,0,115]]"
signal_feature_only,extra_trees,10,0,file_id_4,4,30,301,0.8903654485049833,0.8675502809184872,0.8674698795180723,0.743801652892562,0.9913793103448276,"[[108,5,2],[26,45,0],[0,0,115]]"
signal_feature_only,extra_trees,10,1,file_id_4,4,30,301,0.8538205980066446,0.8331340362792723,0.808695652173913,0.6950354609929078,0.9956709956709957,"[[93,21,1],[22,49,0],[0,0,115]]"
signal_feature_only,extra_trees,10,2,file_id_4,4,30,301,0.9069767441860465,0.8856683862793012,0.889763779527559,0.7758620689655172,0.9913793103448276,"[[113,0,2],[26,45,0],[0,0,115]]"
signal_feature_only,extra_trees,10,3,file_id_4,4,30,301,0.8770764119601329,0.8467427096230343,0.8549019607843137,0.6896551724137931,0.9956709956709957,"[[109,5,1],[31,40,0],[0,0,115]]"
signal_feature_only,extra_trees,10,4,file_id_4,4,30,301,0.9368770764119602,0.9284216922375816,0.9162995594713657,0.8689655172413793,1.0,"[[104,11,0],[8,63,0],[0,0,115]]"
signal_feature_only,extra_trees,10,5,file_id_4,4,30,301,0.8504983388704319,0.8288600288600289,0.8051948051948052,0.6857142857142857,0.9956709956709957,"[[93,21,1],[23,48,0],[0,0,115]]"
signal_feature_only,extra_trees,10,6,file_id_4,4,30,301,0.8073089700996677,0.7856344039472297,0.7339449541284404,0.631578947368421,0.9913793103448276,"[[80,33,2],[23,48,0],[0,0,115]]"
signal_feature_only,extra_trees,10,7,file_id_4,4,30,301,0.9269102990033222,0.9131233071988597,0.912,0.8360655737704918,0.991304347826087,"[[114,0,1],[20,51,0],[1,0,114]]"
signal_feature_only,extra_trees,10,8,file_id_4,4,30,301,0.9003322259136213,0.883098983289823,0.875,0.7786259541984732,0.9956709956709957,"[[105,9,1],[20,51,0],[0,0,115]]"
signal_feature_only,extra_trees,10,9,file_id_4,4,30,301,0.8803986710963455,0.8570126815232054,0.859504132231405,0.7244094488188977,0.9871244635193133,"[[104,10,1],[23,46,2],[0,0,115]]"
signal_feature_only,extra_trees,25,0,file_id_4,4,75,301,0.9368770764119602,0.9284216922375816,0.9162995594713657,0.8689655172413793,1.0,"[[104,11,0],[8,63,0],[0,0,115]]"
signal_feature_only,extra_trees,25,1,file_id_4,4,75,301,0.9003322259136213,0.8851181552081103,0.8782608695652174,0.7857142857142857,0.9913793103448276,"[[101,14,0],[14,55,2],[0,0,115]]"
signal_feature_only,extra_trees,25,2,file_id_4,4,75,301,0.8704318936877077,0.8358222754774479,0.8494208494208494,0.6666666666666666,0.9913793103448276,"[[110,3,2],[34,37,0],[0,0,115]]"
